id_code,megapixels,aspect_ratio,area_ratio_s1,area_ratio_s2,black_region_pct,varLapNorm,specSlope,brenner,tenengradVar,regionMin,region_centre,region_q1,region_q2,region_q3,region_q4,illum_plane_tilt,illum_radial,local_contrast,saturation_count,stage1_verdict,enhancement_applied
09f1111a388a,3.145728,1.333333333,1.004346246,0.9956631782,52.52803167,0.01634423675,-2.065152578,12.88136202,32.89799621,0.01203866098,0.01348107098,0.01666296495,0.01257246052,0.01203866098,0.02434147274,0.03873013631,-0.02629065424,0.01577330675,0.1043969253,pass,0
17e6116b89b3,1.1025,1,0.9990473923,1.000953062,20.34984127,0.002753408779,-2.553859165,12.47571673,18.58850674,0.002203263424,0.002599207663,0.002621660241,0.002203263424,0.002501190774,0.004014360807,0.03190489761,-0.05390385137,0.02136053732,0.5881729969,pass,0
1db0393cdbc1,0.502866,1.333876221,0.9981875853,1.001814059,52.38652046,0.005840256402,-2.790229787,37.15144588,59.07610669,0.004980494166,0.004980494166,0.005394125112,0.006623641837,0.005970871932,0.00535409326,0.1116357229,-0.01040174462,0.02929132804,0.7066724582,borderline,2
1df0431bfa73,3.145728,1.333333333,0.9963814034,1.003625156,52.34247843,0.002861856895,-2.416832741,11.38711433,6.861058199,0.002369481116,0.002602989203,0.003277627626,0.002779901682,0.002369481116,0.002917367086,0.01074102344,-0.02592101974,0.01719320142,0.1660245361,borderline,2
1e8c31e29dd3,1.1025,1,0.9990473923,1.000953062,20.15038549,0.002402776212,-2.462400488,12.7664633,12.8847705,0.001586151197,0.002234600111,0.001586151197,0.003357990264,0.003106541773,0.002053329276,0.05547733196,-0.0584577348,0.01907633478,0.5424028389,pass,0
226c6ceb9185,3.145728,1.333333333,1.004346246,0.9956631782,52.47205098,0.0197748506,-1.775008161,12.38472122,41.24476225,0.01503745956,0.02376531611,0.0176526083,0.02846544968,0.02493392592,0.01503745956,0.01851734115,0.01762871393,0.01490820818,0.1816600896,pass,0
2585bbc91909,3.145728,1.333333333,1.005073375,0.9949394623,52.5434494,0.01657016353,-1.941919298,13.31621205,31.18777688,0.01327917462,0.01663886939,0.01394656515,0.01872044988,0.02673573595,0.01327917462,0.03456874062,-0.02545561802,0.01605145705,0.2434263498,pass,0
28f73575e1f2,0.502866,1.333876221,0.9981908642,1.001810774,52.3753843,0.00311773673,-2.506299976,13.10927262,83.71580518,0.002619064809,0.003583630774,0.002619064809,0.002837184944,0.003684258156,0.003421039679,0.03449448532,0.01656742998,0.02511964071,0.04593132015,borderline,2
3178559fbf57,1.1025,1,1,1,19.20861678,0.001414677581,-2.280404315,7.726958271,4.633075587,0.0009970016375,0.001573068666,0.001158237764,0.002052364959,0.001613426977,0.0009970016375,0.02147551772,-0.0106968463,0.01733030344,1.417609251,fail,0
33d72035c27a,3.145728,1.333333333,0.9978280549,1.002174306,52.3338,0.003037167987,-2.424908345,13.42129135,11.27552693,0.001718408454,0.003097436988,0.003256463605,0.001718408454,0.003502819512,0.003944208907,0.134369394,0.1715173791,0.0202175743,0.1874021724,borderline,2
3b2b91590590,1.1025,1,0.9990473923,1.000953062,20.55165533,0.003352733752,-2.441235053,14.16082639,16.74157163,0.002687691052,0.003199908566,0.004114652675,0.003381785701,0.002687691052,0.003332491711,0.002507469791,-0.05546215058,0.02062649183,0.5428590347,pass,0
4036471a1bb7,3.145728,1.333333333,1.011585711,0.9884810176,52.52408981,0.01497622921,-1.686777687,12.16491645,24.23658585,0.01293667884,0.01514565428,0.01616141803,0.01582223139,0.01567586291,0.01293667884,0.01594006907,0.003489022817,0.01470116264,0.05082148001,pass,0
40dd4e6e4444,3.145728,1.333333333,0.9963787826,1.003627786,52.32241948,0.003456882345,-2.167853524,10.87424428,5.885161726,0.003037767535,0.003143553999,0.004503516938,0.003090239084,0.003216241156,0.003037767535,0.03421412999,-0.02222694005,0.01608384576,0.1609540428,pass,0
4145dcb25053,3.145728,1.333333333,1,1,52.47643789,0.00347078652,-2.100792456,10.6400182,5.561505437,0.002024673371,0.003139195167,0.004645914849,0.003302471746,0.002024673371,0.003980558014,0.04936468973,-0.0211483372,0.01621064863,0.296061037,borderline,2
4210809074c1,1.1025,1,0.9990473923,1.000953062,20.16,0.004365868581,-2.471610015,18.54498024,33.24025998,0.003171747129,0.003799024666,0.005052561084,0.00560637899,0.004064921234,0.003171747129,0.02161122902,-0.09247554543,0.02196148289,0.9982550134,pass,0
4dd4a4bf2421,1.1025,1,1,1,20.5692517,0.002592296333,-2.636651669,11.85124438,13.23128056,0.001592454435,0.002097700483,0.003690756971,0.001928416156,0.001592454435,0.004016928064,0.06212811431,-0.0926644873,0.01829052617,0.2347771672,pass,0
4e1e252317b5,1.1025,1,1,1,19.12226757,0.001688344788,-2.355025801,10.36288205,11.38111007,0.001125350371,0.001839187884,0.00127689118,0.002478974453,0.002281400967,0.001125350371,0.03391354162,-0.001794243194,0.02053889995,1.517365593,pass,0
4eabad7948cf,3.145728,1.333333333,1.007254238,0.9927719789,52.58366267,0.01980052332,-1.77441864,12.21731197,43.97731356,0.01231465914,0.02416090438,0.01731647147,0.03364384951,0.0327431507,0.01231465914,0.05032616678,0.02384450378,0.01540372106,0.2479905658,pass,0
4faf4063db8c,1.1025,1,0.9990473923,1.000953062,20.29251701,0.00273160488,-2.546594011,14.45942275,18.59398591,0.002186018519,0.002545565375,0.003275342922,0.002186018519,0.002191546772,0.003654940846,0.05121088716,-0.08349006744,0.02058391984,0.6427128673,pass,0
5069feccd866,3.145728,1.333333333,0.9992741789,1.000726085,52.51820882,0.01436754112,-1.992416044,13.19713991,28.82849319,0.009835542644,0.014745173,0.01413161175,0.009835542644,0.01449225329,0.01942034254,0.05664649327,0.07833154331,0.01558537442,0.1693839512,pass,0
511fd66b2df8,5.067304,1.321756895,1.29637209,0.7420386104,7.854946141,0.002836701183,-2.150832557,4.996487019,2.089609377,0.002031729972,0.002877227566,0.002031729972,0.002971468969,0.004045853022,0.002929395279,0.1942054779,-0.1317750719,0.01211303234,0.05694680325,pass,0
51aa3361294c,0.502866,1.333876221,1.223809191,0.7987728008,20.17257082,0.001933120111,-2.810904063,4.274474021,8.965638719,0.001560652519,0.001971745009,0.0019010815,0.001560652519,0.001990704022,0.002345198824,0.07281602939,-0.005876154055,0.015021301,0.1504639721,borderline,2
521b5377a727,0.502866,1.333876221,1.223809191,0.7987728008,20.2016044,0.002485184026,-2.477878568,1.761266786,74.5254135,0.002058267264,0.002768171266,0.002104709668,0.002058267264,0.002206081561,0.004584291569,0.09937331914,-0.001353375538,0.01198579783,0.2155607445,borderline,3
5257cb536da2,0.502866,1.333876221,1.223809191,0.7987728008,20.15089507,0.001540518152,-3.248791522,8.114066576,17.42026934,0.001323272262,0.001575135859,0.001709238907,0.001882462344,0.001323272262,0.001337218894,0.01863092205,-0.01933247894,0.02263708647,0.2991029402,borderline,2
5299a532f0e0,1.1025,1,0.9990473923,1.000953062,19.85596372,0.001828798994,-2.260300087,8.809842318,5.638700154,0.00140992058,0.001797630059,0.00140992058,0.002220688148,0.001946449745,0.001846509818,0.02444293168,-0.0391402977,0.01636891176,1.09847576,borderline,2
53273d664cd8,1.1025,1,1,1,20.34820862,0.00270784546,-2.581133923,15.78041844,21.28553532,0.002116624218,0.002458566377,0.003388507267,0.002235699994,0.002116624218,0.00346080082,0.0464334778,-0.1124076583,0.02021444512,0.3969659322,pass,0
535682537302,1.1025,1,1,1,20.070839,0.001356395916,-2.520595618,9.100838755,4.873755268,0.0007023595067,0.001256294826,0.001949513817,0.0007023595067,0.0009051009646,0.002245440361,0.06195311104,-0.0267015025,0.01650839627,0.5713676169,fail,0
